iter	MultiClass
0	1.332310866
1	1.281237266
2	1.241495947
3	1.209546039
4	1.174334111
5	1.138485529
6	1.105694023
7	1.073746424
8	1.044095102
9	1.015294364
10	0.9858052786
11	0.9629798479
12	0.9418299277
13	0.9206524652
14	0.8987890231
15	0.8782639428
16	0.8576705421
17	0.8404029429
18	0.8245463717
19	0.8127786869
20	0.7982737888
21	0.7855797532
22	0.7714647921
23	0.756492542
24	0.7419926279
25	0.7301639806
26	0.719815901
27	0.7089192411
28	0.6994014374
29	0.6860139313
30	0.6758648232
31	0.6650585085
32	0.6539195589
33	0.6436254903
34	0.6339655868
35	0.6260832099
36	0.6171971565
37	0.6082277134
38	0.6031447755
39	0.5941766675
40	0.5867320992
41	0.5796624024
42	0.5740881649
43	0.5658268495
44	0.5604321522
45	0.555785367
46	0.5494395841
47	0.5455393769
48	0.5386197195
49	0.5324023144
50	0.5259548383
51	0.5201187594
52	0.5156937761
53	0.5110814546
54	0.5055628411
55	0.4992678928
56	0.493876959
57	0.4888483908
58	0.4833238978
59	0.4760519526
60	0.4719945753
61	0.4670878143
62	0.4628388927
63	0.4589039834
64	0.4548137031
65	0.4506529498
66	0.4472034857
67	0.4427348818
68	0.4389465635
69	0.4341655341
70	0.4298211126
71	0.4247314634
72	0.4210192895
73	0.4180491321
74	0.4137955247
75	0.4102835563
76	0.4062253749
77	0.4016091796
78	0.3975861457
79	0.3938343783
80	0.3910441576
81	0.3870719559
82	0.3826138467
83	0.3794316664
84	0.37708493
85	0.3743364876
86	0.3708025131
87	0.3678033447
88	0.3638725045
89	0.3613789116
90	0.3582170187
91	0.3554313066
92	0.3528540382
93	0.3500005048
94	0.3476508427
95	0.3452214498
96	0.3431505507
97	0.3402752364
98	0.3370275588
99	0.3348621534
100	0.3322346981
101	0.3293637954
102	0.3268567193
103	0.3243204836
104	0.3217654373
105	0.3189197641
106	0.3160606729
107	0.3133392584
108	0.3103619599
109	0.3076219298
110	0.3061047857
111	0.3040852581
112	0.3026054257
113	0.3008359369
114	0.2997937528
115	0.2976930076
116	0.2958452262
117	0.293463225
118	0.2917333261
119	0.2896640449
120	0.2878416212
121	0.2853817224
122	0.283632222
123	0.2814452089
124	0.2793232514
125	0.2780888543
126	0.2763673059
127	0.2744991185
128	0.2728772849
129	0.2709859508
130	0.2690782846
131	0.2676302613
132	0.2658896859
133	0.2642443764
134	0.2624121034
135	0.2610088463
136	0.2593438572
137	0.2581944553
138	0.2565053406
139	0.2547679474
140	0.2529989568
141	0.2515882191
142	0.2497972399
143	0.2485249696
144	0.2475109118
145	0.245743023
146	0.2441614355
147	0.2432125152
148	0.2416428058
149	0.2412611327
150	0.2397046527
151	0.2387160607
152	0.2374936339
153	0.2362420695
154	0.2343816447
155	0.2329169533
156	0.2318824543
157	0.230458703
158	0.2293953863
159	0.2290352061
160	0.2274911769
161	0.2268824093
162	0.2259813838
163	0.2252018656
164	0.2241384339
165	0.2227870393
166	0.2212720685
167	0.2202901402
168	0.2190817168
169	0.21793214
170	0.2167962939
171	0.2154151803
172	0.2146669297
173	0.2136950218
174	0.2121624361
175	0.2107450025
176	0.2098161215
177	0.2090072522
178	0.2076560351
179	0.206574519
180	0.2053288776
181	0.2043494575
182	0.2030044358
183	0.2016328299
184	0.200703343
185	0.1994920899
186	0.1985009702
187	0.1975890142
