iter	Passed	Remaining
0	3	3101
1	5	2749
2	8	2678
3	8	2208
4	11	2226
5	13	2189
6	15	2191
7	17	2155
8	19	2160
9	21	2160
10	23	2144
11	25	2131
12	28	2133
13	30	2127
14	32	2115
15	34	2123
16	37	2146
17	39	2176
18	42	2176
19	44	2165
20	46	2151
21	48	2155
22	50	2149
23	53	2165
24	55	2163
25	57	2159
26	60	2165
27	62	2162
28	64	2164
29	67	2167
30	69	2168
31	71	2174
32	74	2182
33	76	2181
34	79	2185
35	81	2186
36	84	2189
37	86	2195
38	89	2193
39	91	2190
40	93	2187
41	95	2183
42	98	2185
43	100	2189
44	102	2182
45	105	2181
46	107	2180
47	108	2159
48	111	2162
49	113	2163
50	116	2168
51	118	2165
52	120	2160
53	122	2154
54	125	2155
55	127	2153
56	129	2150
57	132	2148
58	134	2150
59	136	2145
60	139	2141
61	141	2143
62	144	2144
63	146	2141
64	148	2136
65	150	2132
66	153	2134
67	156	2142
68	159	2147
69	161	2150
70	164	2150
71	166	2147
72	168	2144
73	171	2140
74	173	2142
75	175	2138
76	178	2137
77	180	2136
78	182	2132
79	185	2131
80	188	2133
81	190	2134
82	193	2134
83	195	2134
84	198	2135
85	201	2140
86	204	2150
87	207	2151
88	210	2155
89	213	2161
90	216	2160
91	218	2160
92	221	2160
93	224	2159
94	226	2158
95	228	2154
96	231	2151
97	233	2149
98	235	2146
99	238	2143
100	240	2140
101	242	2138
102	245	2139
103	248	2137
104	250	2133
105	252	2130
106	255	2128
107	257	2125
108	259	2124
109	262	2124
110	265	2122
111	267	2121
112	270	2122
113	272	2121
114	275	2118
115	277	2116
116	279	2112
117	282	2108
118	284	2105
119	286	2102
120	289	2100
121	291	2096
122	293	2094
123	296	2092
124	298	2091
125	300	2086
126	302	2082
127	305	2080
128	307	2077
129	310	2075
130	312	2072
131	315	2072
132	317	2072
133	320	2068
134	322	2066
135	324	2064
136	327	2060
137	329	2057
138	331	2054
139	334	2051
140	336	2049
141	338	2046
142	340	2042
143	343	2040
144	345	2037
145	348	2036
146	350	2034
147	352	2031
148	355	2029
149	357	2025
150	359	2022
151	362	2019
152	364	2018
153	367	2017
154	369	2015
155	372	2014
156	374	2013
157	377	2012
158	380	2013
159	383	2012
160	385	2009
161	388	2007
162	390	2005
163	393	2004
164	395	2003
165	398	2001
166	401	2001
167	404	2003
168	407	2003
169	410	2003
170	412	2001
171	415	1998
172	417	1995
173	419	1993
174	422	1992
175	425	1991
176	427	1989
177	430	1987
178	433	1986
179	435	1985
180	438	1982
181	440	1980
182	443	1978
183	445	1976
184	447	1972
185	450	1969
186	452	1967
187	454	1964
188	457	1962
189	459	1960
190	462	1959
191	465	1958
192	468	1957
193	470	1955
194	472	1952
195	475	1949
196	477	1947
197	479	1943
198	482	1941
199	484	1937
200	486	1935
201	489	1932
202	491	1929
203	493	1925
204	496	1923
205	498	1920
206	500	1917
207	502	1914
208	505	1911
209	507	1909
210	510	1907
211	512	1905
212	515	1904
213	517	1901
214	519	1897
215	522	1895
216	524	1892
217	527	1891
218	529	1888
219	531	1885
220	534	1882
221	536	1879
222	538	1876
223	540	1873
224	543	1871
225	545	1868
226	547	1865
227	550	1863
228	552	1860
229	554	1857
230	557	1854
231	559	1852
232	562	1851
233	565	1850
234	567	1847
235	569	1845
236	572	1842
237	574	1838
238	576	1835
239	578	1831
240	580	1828
241	582	1825
242	585	1822
243	587	1821
244	590	1819
245	593	1817
246	595	1816
247	598	1815
248	601	1814
249	604	1812
250	606	1809
251	608	1807
252	611	1804
253	613	1802
254	615	1799
255	618	1796
256	620	1794
